root_uid	eventmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	attribute	start_date_type	start_date	end_date_type	end_date
KC003A59I	VMKC003A59I.000037	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	1432.517	1440.18	EMPTY_NA	EMPTY_NA	US-trained division executed prisoners in Mosul	conflict	attack	unspecified	none	startbefore	2017-07-28	endbefore	2017-07-28
KC003A59I	VMKC003A59I.000097	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	1451.372	1463.076	EMPTY_NA	EMPTY_NA	Opposition violence	conflict	attack	unspecified	none	startbefore	2017-07-28	endbefore	2017-07-28
KC003A59I	VMKC003A59I.000165	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	1398.099	1418.792	EMPTY_NA	EMPTY_NA	Maduro talks to RT (mediastatement)	contact	mediastatement	unspecified	none	startbefore	2017-07-28	endbefore	2017-07-28
KC003A59I	VMKC003A59I.000186	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	1398.099	1418.792	EMPTY_NA	EMPTY_NA	Maduro talks to RT (public statement in person)	contact	publicstatementinperson	broadcast	none	startbefore	2017-07-28	endbefore	2017-07-28
KC003A59I	VMKC003A59I.000259	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	1453.302	1458.478	EMPTY_NA	EMPTY_NA	Maduro talks to RT (mediastatement)	contact	mediastatement	unspecified	none	startbefore	2017-07-28	endbefore	2017-07-28
KC003A59I	VMKC003A59I.000280	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	1453.302	1458.478	EMPTY_NA	EMPTY_NA	Maduro talks to RT (public statement in person)	contact	publicstatementinperson	broadcast	none	startbefore	2017-07-28	endbefore	2017-07-28
KC003A6NA	VMKC003A6NA.000003	KC003ADT2	2439	2444	killed	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	José Félix Pineda killed (attack)	conflict	attack	firearmattack	none	starton	2017-07-29	endon	2017-07-29
KC003A6NA	VMKC003A6NA.000037	KC003ADT2	2439	2444	killed	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	José Félix Pineda killed (death)	life	die	deathcausedbyviolentevents	none	startbefore	2017-07-29	endbefore	2017-07-29
KC003A6NA	VMKC003A6NA.000097	KC003ADT2	2479	2482	vote	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	The vote	government	vote	unspecified	none	starton	2017-07-30	endon	2017-07-30
KC003A6NA	VMKC003A6NA.000118	KC003ADT2	2521	2531	broken into	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Armed group breaks into Pineda's house	conflict	attack	unspecified	none	starton	2017-07-29	endon	2017-07-29
KC003A6NA	VMKC003A6NA.000165	KC003ADT2	2591	2594	shot	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Armed group shoots Pineda	conflict	attack	firearmattack	none	starton	2017-07-29	endon	2017-07-29
KC003A6NA	VMKC003A6NA.000225	KC003ADT2	2634	2642	explosion	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Explosion in middle-class neighborhood	disaster	fireexplosion	fireexplosion	none	startafter	2017-07-29	endafter	2017-07-29
KC003A6NA	VMKC003A6NA.000259	KC003ADT2	2715	2722	injuring	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	At least seven police officers injured	life	injure	injurycausedbyviolentevents	none	startafter	2017-07-29	endafter	2017-07-29
KC003A6NA	VMKC003A6NA.000306	KC003ADT2	2888	2894	erupted	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Eruption of fireball	disaster	fireexplosion	fireexplosion	none	startafter	2017-07-29	endafter	2017-07-29
KC003A6NA	VMKC003A6NA.000340	KC003ADT2	2965	2969	threw	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Tear gas thrown at residents	conflict	attack	unspecified	none	starton	2017-07-30	endon	2017-07-30
KC003A6NA	VMKC003A6NA.000400	KC003ADT2	3083	3089	against	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Gov't security forces use water cannons, rubber bullets, and batons against protesters	conflict	attack	unspecified	none	starton	2017-07-30	endon	2017-07-30
KC003A6NA	VMKC003A6NA.000486	KC003ADT2	3116	3119	have	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Gov't security forces attack protesters for three months	conflict	attack	unspecified	none	starton	2017-04-xx	endon	2017-07-30
KC003A6NA	VMKC003A6NA.000619	KC003ADT2	3173	3178	killed	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	At least 10 people killed (attack)	conflict	attack	unspecified	none	starton	2017-07-30	endon	2017-07-30
KC003A6NA	VMKC003A6NA.000666	KC003ADT2	3173	3178	killed	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	At least 10 people killed (death)	life	die	deathcausedbyviolentevents	none	starton	2017-07-30	endon	2017-07-30
KC003A6NA	VMKC003A6NA.000700	KC003ADT2	3183	3189	clashes	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Clashes between police and demonstrators (police the attackers)	conflict	attack	unspecified	none	starton	2017-07-30	endon	2017-07-30
KC003A6NA	VMKC003A6NA.000747	KC003ADT2	3183	3189	clashes	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Clashes between police and demonstrators (demonstrators the attackers)	conflict	attack	unspecified	none	starton	2017-07-30	endon	2017-07-30
KC003A6NA	VMKC003A6NA.000794	KC003ADT2	3295	3298	shot	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Two boys shot in Táchira	conflict	attack	firearmattack	none	starton	2017-07-30	endon	2017-07-30
KC003A6NA	VMKC003A6NA.000841	KC003ADT2	3173	3178	killed	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Two boys killed in Táchira	life	die	deathcausedbyviolentevents	none	starton	2017-07-30	endon	2017-07-30
KC003A6NA	VMKC003A6NA.000888	KC003ADT2	3354	3357	shot	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Police officer shot in Táchira	conflict	attack	firearmattack	none	starton	2017-07-30	endon	2017-07-30
KC003A6NA	VMKC003A6NA.000935	KC003ADT2	3418	3423	killed	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Man killed in Barquisimeto (attack)	conflict	attack	firearmattack	none	starton	2017-07-30	endon	2017-07-30
KC003A6NA	VMKC003A6NA.000982	KC003ADT2	3418	3423	killed	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Man killed in Barquisimeto (death)	life	die	deathcausedbyviolentevents	none	starton	2017-07-30	endon	2017-07-30
KC003A6NA	VMKC003A6NA.001029	KC003ADT2	3483	3489	pierced	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Bullet attack against man in Barquisimeto	conflict	attack	firearmattack	none	starton	2017-07-30	endon	2017-07-30
KC003A6NA	VMKC003A6NA.001089	KC003ADT2	3738	3741	vote	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	The vote	government	vote	unspecified	none	starton	2017-07-30	endon	2017-07-30
KC003A6NA	VMKC003A6NA.001123	KC003ADT2	3850	3855	barred	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	News outlets not allowed to enter polling stations	movement	transportperson	prevententry	none	starton	2017-07-30	endon	2017-07-30
