kb_id	mention_id	root_uid
NILE20715	EMKC003A59I.001914	KC003A59I
NILE20715	EMKC003A59I.001927	KC003A59I
NILE20715	EMKC003A59I.001940	KC003A59I
NILE20718	EMKC003A59I.000387	KC003A59I
NILE20718	EMKC003A59I.000946	KC003A59I
NILE20718	EMKC003A59I.000985	KC003A59I
NILE20719	EMKC003A59I.000556	KC003A59I
NILE20719	EMKC003A59I.000608	KC003A59I
NILE20719	EMKC003A59I.000686	KC003A59I
NILE20719	EMKC003A59I.000712	KC003A59I
NILE20719	EMKC003A59I.000894	KC003A59I
NILE20719	EMKC003A59I.000920	KC003A59I
NILE20720	EMKC003A59I.000530	KC003A59I
NILE20720	EMKC003A59I.000582	KC003A59I
NILE20720	EMKC003A59I.000660	KC003A59I
NILE20720	EMKC003A59I.000738	KC003A59I
NILE20720	EMKC003A59I.000816	KC003A59I
NILE20721	EMKC003A59I.000374	KC003A59I
NILE20721	EMKC003A59I.000517	KC003A59I
NILE20721	EMKC003A59I.000543	KC003A59I
NILE20721	EMKC003A59I.000569	KC003A59I
NILE20721	EMKC003A59I.000595	KC003A59I
NILE20721	EMKC003A59I.000621	KC003A59I
NILE20721	EMKC003A59I.000647	KC003A59I
NILE20721	EMKC003A59I.000673	KC003A59I
NILE20721	EMKC003A59I.000699	KC003A59I
NILE20721	EMKC003A59I.000725	KC003A59I
NILE20721	EMKC003A59I.000751	KC003A59I
NILE20721	EMKC003A59I.000777	KC003A59I
NILE20721	EMKC003A59I.000803	KC003A59I
NILE20721	EMKC003A59I.000829	KC003A59I
NILE20721	EMKC003A59I.000855	KC003A59I
NILE20721	EMKC003A59I.000881	KC003A59I
NILE20721	EMKC003A59I.000907	KC003A59I
NILE20721	EMKC003A59I.000933	KC003A59I
NILE20721	EMKC003A59I.000959	KC003A59I
NILE20713	EMKC003A59I.000071	KC003A59I
NILE20709	EMKC003A59I.001032	KC003A59I
NILE20709	EMKC003A59I.001045	KC003A59I
NILE20709	EMKC003A59I.001058	KC003A59I
NILE20709	EMKC003A59I.001071	KC003A59I
NILE20709	EMKC003A59I.001084	KC003A59I
