root_uid	eventmention_id	slot_type	argmention_id	attribute
KC003A59I	VMKC003A59I.000037	evt004arg01attacker	EMKC003A59I.000058	none
KC003A59I	VMKC003A59I.000037	evt004arg02target	EMKC003A59I.000071	none
KC003A59I	VMKC003A59I.000037	evt004arg04place	EMKC003A59I.000084	none
KC003A59I	VMKC003A59I.000097	evt004arg01attacker	EMKC003A59I.000118	none
KC003A59I	VMKC003A59I.000165	evt037arg01communicator	EMKC003A59I.000207	none
KC003A59I	VMKC003A59I.000165	evt037arg02recipient	EMKC003A59I.000220	none
KC003A59I	VMKC003A59I.000186	evt047arg01communicator	EMKC003A59I.000207	none
KC003A59I	VMKC003A59I.000186	evt047arg02recipient	EMKC003A59I.000220	none
KC003A59I	VMKC003A59I.000259	evt037arg01communicator	EMKC003A59I.000301	none
KC003A59I	VMKC003A59I.000259	evt037arg02recipient	EMKC003A59I.000314	none
KC003A59I	VMKC003A59I.000280	evt047arg01communicator	EMKC003A59I.000301	none
KC003A59I	VMKC003A59I.000280	evt047arg02recipient	EMKC003A59I.000314	none
KC003A6NA	VMKC003A6NA.000003	evt008arg02target	EMKC003A6NA.000024	none
KC003A6NA	VMKC003A6NA.000003	evt008arg04place	EMKC003A6NA.000058	none
KC003A6NA	VMKC003A6NA.000037	evt090arg02victim	EMKC003A6NA.000024	none
KC003A6NA	VMKC003A6NA.000037	evt090arg04place	EMKC003A6NA.000058	none
KC003A6NA	VMKC003A6NA.000118	evt004arg01attacker	EMKC003A6NA.000139	none
KC003A6NA	VMKC003A6NA.000118	evt004arg04place	EMKC003A6NA.000152	none
KC003A6NA	VMKC003A6NA.000165	evt008arg01attacker	EMKC003A6NA.000139	none
KC003A6NA	VMKC003A6NA.000165	evt008arg02target	EMKC003A6NA.000199	none
KC003A6NA	VMKC003A6NA.000165	evt008arg04place	EMKC003A6NA.000212	none
KC003A6NA	VMKC003A6NA.000225	evt059arg03place	EMKC003A6NA.000246	none
KC003A6NA	VMKC003A6NA.000259	evt095arg02victim	EMKC003A6NA.000280	none
KC003A6NA	VMKC003A6NA.000259	evt095arg04place	EMKC003A6NA.000246	none
KC003A6NA	VMKC003A6NA.000306	evt059arg03place	EMKC003A6NA.000327	none
KC003A6NA	VMKC003A6NA.000340	evt004arg01attacker	EMKC003A6NA.000361	none
KC003A6NA	VMKC003A6NA.000340	evt004arg03instrument	EMKC003A6NA.000374	none
KC003A6NA	VMKC003A6NA.000340	evt004arg02target	EMKC003A6NA.000387	none
KC003A6NA	VMKC003A6NA.000400	evt004arg01attacker	EMKC003A6NA.000421	none
KC003A6NA	VMKC003A6NA.000400	evt004arg03instrument	EMKC003A6NA.000434	none
KC003A6NA	VMKC003A6NA.000400	evt004arg03instrument	EMKC003A6NA.000447	none
KC003A6NA	VMKC003A6NA.000400	evt004arg03instrument	EMKC003A6NA.000460	none
KC003A6NA	VMKC003A6NA.000400	evt004arg02target	EMKC003A6NA.000473	none
KC003A6NA	VMKC003A6NA.000486	evt004arg01attacker	EMKC003A6NA.000507	none
KC003A6NA	VMKC003A6NA.000486	evt004arg03instrument	EMKC003A6NA.000434	none
KC003A6NA	VMKC003A6NA.000486	evt004arg03instrument	EMKC003A6NA.000447	none
KC003A6NA	VMKC003A6NA.000486	evt004arg03instrument	EMKC003A6NA.000460	none
KC003A6NA	VMKC003A6NA.000486	evt004arg02target	EMKC003A6NA.000473	none
KC003A6NA	VMKC003A6NA.000619	evt004arg02target	EMKC003A6NA.000640	none
KC003A6NA	VMKC003A6NA.000666	evt090arg02victim	EMKC003A6NA.000640	none
KC003A6NA	VMKC003A6NA.000700	evt004arg01attacker	EMKC003A6NA.000721	none
KC003A6NA	VMKC003A6NA.000700	evt004arg02target	EMKC003A6NA.000734	none
KC003A6NA	VMKC003A6NA.000747	evt004arg01attacker	EMKC003A6NA.000734	none
KC003A6NA	VMKC003A6NA.000747	evt004arg02target	EMKC003A6NA.000721	none
KC003A6NA	VMKC003A6NA.000794	evt008arg02target	EMKC003A6NA.000815	none
KC003A6NA	VMKC003A6NA.000794	evt008arg04place	EMKC003A6NA.000828	none
KC003A6NA	VMKC003A6NA.000841	evt090arg02victim	EMKC003A6NA.000815	none
KC003A6NA	VMKC003A6NA.000841	evt090arg04place	EMKC003A6NA.000828	none
KC003A6NA	VMKC003A6NA.000888	evt008arg02target	EMKC003A6NA.000909	none
KC003A6NA	VMKC003A6NA.000888	evt008arg04place	EMKC003A6NA.000922	none
KC003A6NA	VMKC003A6NA.000935	evt008arg02target	EMKC003A6NA.000956	none
KC003A6NA	VMKC003A6NA.000935	evt008arg04place	EMKC003A6NA.000969	none
KC003A6NA	VMKC003A6NA.000982	evt090arg02victim	EMKC003A6NA.000956	none
KC003A6NA	VMKC003A6NA.000982	evt090arg04place	EMKC003A6NA.000969	none
KC003A6NA	VMKC003A6NA.001029	evt008arg02target	EMKC003A6NA.001050	none
KC003A6NA	VMKC003A6NA.001029	evt008arg04place	EMKC003A6NA.001063	none
KC003A6NA	VMKC003A6NA.001029	evt008arg03instrument	EMKC003A6NA.001076	none
KC003A6NA	VMKC003A6NA.001123	evt119arg01preventer	EMKC003A6NA.001144	none
KC003A6NA	VMKC003A6NA.001123	evt119arg05destination	EMKC003A6NA.001157	none
KC003A6NA	VMKC003A6NA.001170	evt037arg01communicator	EMKC003A6NA.001191	none
KC003A6NA	VMKC003A6NA.001170	evt037arg01communicator	EMKC003A6NA.001204	none
KC003A6NA	VMKC003A6NA.001170	evt037arg03place	EMKC003A6NA.001217	none
