root_uid	relationmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	attribute	start_date_type	start_date	end_date_type	end_date
KC003A6NA	RMKC003A6NA.000572	KC003ADT2	3010	3019	government	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Gov't security forces work for the gov't	organizationaffiliation	employmentmembership	employment	none	startbefore	2017-07-30	endunk	EMPTY_NA
KC003A6NA	RMKC003A6NA.001298	KC003ADT2	4825	4831	million	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of votes cast in opposition vote more than seven million	measurement	size	count	none	starton	2017-07-xx	endon	2017-07-xx
KC003A6NA	RMKC003A6NA.001345	KC003ADT2	4850	4859	opposition	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Opposition leaders on opposition side	generalaffiliation	memberoriginreligionethnicity	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A6NA	RMKC003A6NA.001392	KC003ADT2	4883	4889	percent	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	98% of votes in opposition vote against rewriting the Constitution	measurement	size	percentage	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A6NA	RMKC003A6NA.001606	KC003ADT2	4979	4985	million	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of people voting in Constituent Assembly vote eight million	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A6NA	RMKC003A6NA.001653	KC003ADT2	5043	5049	percent	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Percentage of people voting in Constituent Assembly vote over 40% of eligible voters	measurement	size	percentage	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A6NA	RMKC003A6NA.001807	KC003ADT2	5304	5310	million	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of voters who cast ballots is between 3.1 and 4 million	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A6NA	RMKC003A6NA.002496	KC003ADT2	2724	2737	at least seven	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	at least seven police officers on patrol	measurement	size	count	none	starton	2017-07-29	endon	2017-07-29
KC003A6NA	RMKC003A6NA.002569	KC003ADT2	3149	3159	At least 10	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	At least 10 people	measurement	size	count	none	starton	2017-07-29	endon	2017-07-29
KC003A9VN	RMKC003A9VN.000105	KC003ADPC	342	345	Anti	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Anti-Maduro activists dislike Maduro	evaluate	sentiment	negative	none	startbefore	2017-07-30	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.000152	KC003ADPC	237	243	leftist	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro is leftist	generalaffiliation	memberoriginreligionethnicity	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.000348	KC003ADPC	511	519	denounced	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Demonstrators dislike the election	evaluate	sentiment	negative	none	startbefore	2017-07-30	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.000429	KC003ADPC	592	593	10	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of people killed is 10	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.000586	KC003ADPC	938	940	120	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of people killed over 120	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.000701	KC003ADPC	2693	2702	Venezuelan	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	The Venezuelan people are Venezuelan	generalaffiliation	memberoriginreligionethnicity	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
