root_uid	relationmention_id	slot_type	argmention_id
KC003A6NA	RMKC003A6NA.000572	rel035arg02placeofemployment	EMKC003A6NA.000593
KC003A6NA	RMKC003A6NA.000572	rel035arg01employee	EMKC003A6NA.000507
KC003A6NA	RMKC003A6NA.001298	rel030arg02entityorfiller	EMKC003A6NA.001285
KC003A6NA	RMKC003A6NA.001298	rel030arg01measurement	EMKC003A6NA.001332
KC003A6NA	RMKC003A6NA.001345	rel014arg02entityorfiller	EMKC003A6NA.001366
KC003A6NA	RMKC003A6NA.001345	rel014arg01person	EMKC003A6NA.001379
KC003A6NA	RMKC003A6NA.001392	rel032arg02entityorfiller	EMKC003A6NA.001285
KC003A6NA	RMKC003A6NA.001392	rel032arg01measurement	EMKC003A6NA.001426
KC003A6NA	RMKC003A6NA.001606	rel030arg02entityorfiller	EMKC003A6NA.001541
KC003A6NA	RMKC003A6NA.001606	rel030arg01measurement	EMKC003A6NA.001640
KC003A6NA	RMKC003A6NA.001653	rel032arg02entityorfiller	EMKC003A6NA.001674
KC003A6NA	RMKC003A6NA.001653	rel032arg01measurement	EMKC003A6NA.001687
KC003A6NA	RMKC003A6NA.001807	rel030arg02entityorfiller	EMKC003A6NA.001768
KC003A6NA	RMKC003A6NA.001807	rel030arg01measurement	EMKC003A6NA.001841
KC003A6NA	RMKC003A6NA.002496	rel030arg02entityorfiller	EMKC003A6NA.000280
KC003A6NA	RMKC003A6NA.002496	rel030arg01measurement	EMKC003A6NA.002530
KC003A6NA	RMKC003A6NA.002569	rel030arg02entityorfiller	EMKC003A6NA.000640
KC003A6NA	RMKC003A6NA.002569	rel030arg01measurement	EMKC003A6NA.002603
KC003A9VN	RMKC003A9VN.000105	rel008arg02sentimenttarget	EMKC003A9VN.000126
KC003A9VN	RMKC003A9VN.000105	rel008arg01holder	EMKC003A9VN.000139
KC003A9VN	RMKC003A9VN.000152	rel014arg02entityorfiller	EMKC003A9VN.000173
KC003A9VN	RMKC003A9VN.000152	rel014arg01person	EMKC003A9VN.000186
KC003A9VN	RMKC003A9VN.000348	rel008arg02sentimenttarget	VMKC003A9VN.000327
KC003A9VN	RMKC003A9VN.000348	rel008arg01holder	EMKC003A9VN.000382
KC003A9VN	RMKC003A9VN.000429	rel030arg02entityorfiller	EMKC003A9VN.000416
KC003A9VN	RMKC003A9VN.000429	rel030arg01measurement	EMKC003A9VN.000463
KC003A9VN	RMKC003A9VN.000586	rel030arg02entityorfiller	EMKC003A9VN.000573
KC003A9VN	RMKC003A9VN.000586	rel030arg01measurement	EMKC003A9VN.000620
KC003A9VN	RMKC003A9VN.000701	rel014arg02entityorfiller	EMKC003A9VN.000722
KC003A9VN	RMKC003A9VN.000701	rel014arg01person	EMKC003A9VN.000735
KC003A9VN	RMKC003A9VN.000816	rel008arg02sentimenttarget	VMKC003A9VN.000795
KC003A9VN	RMKC003A9VN.000816	rel008arg01holder	EMKC003A9VN.000850
KC003A9VN	RMKC003A9VN.000863	rel032arg02entityorfiller	EMKC003A9VN.000884
KC003A9VN	RMKC003A9VN.000863	rel032arg01measurement	EMKC003A9VN.000897
KC003A9VN	RMKC003A9VN.000910	rel030arg02entityorfiller	EMKC003A9VN.000931
KC003A9VN	RMKC003A9VN.000910	rel030arg01measurement	EMKC003A9VN.000944
KC003A9VN	RMKC003A9VN.000957	rel030arg02entityorfiller	EMKC003A9VN.000978
KC003A9VN	RMKC003A9VN.000957	rel030arg01measurement	EMKC003A9VN.000991
KC003A9VN	RMKC003A9VN.001158	rel030arg02entityorfiller	EMKC003A9VN.001085
KC003A9VN	RMKC003A9VN.001158	rel030arg01measurement	EMKC003A9VN.001098
KC003A9VN	RMKC003A9VN.001218	rel030arg02entityorfiller	EMKC003A9VN.001085
KC003A9VN	RMKC003A9VN.001218	rel030arg01measurement	EMKC003A9VN.001098
KC003A9VN	RMKC003A9VN.001265	rel030arg02entityorfiller	EMKC003A9VN.001286
KC003A9VN	RMKC003A9VN.001265	rel030arg01measurement	EMKC003A9VN.001299
