root_uid	relationmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	attribute	start_date_type	start_date	end_date_type	end_date
JC002YCXK	RMJC002YCXK.000468	JC002YEOG	646	650	eight	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Count of people who died from unknown hemorrhagic fever	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YCXK	RMJC002YCXK.000883	JC002YEOG	1852	1877	between 65,000 and 117,000	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	# of people infected with chikungunya in Venezuela	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YCXK	RMJC002YCXK.002022	JC002YEOG	1698	1700	two	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	count of health professionals who participated in press conference about #s of people infected	measurement	size	count	none	starton	2014-09-22	endon	2014-09-22
JC002YCXK	RMJC002YCXK.002090	JC002YEOG	240	244	eight	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Count of people with disease who died in Maracay	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YCXK	RMJC002YCXK.002137	JC002YEOG	635	637	six	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Count of people who died in Maracay from chikungunya	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YFXO	RMJC002YFXO.000316	JC002YGFT	604	610	accused	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro accused Sarmiento of terrorism	responsibilityblame	assignblame	assignblame	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YFXO	RMJC002YFXO.000363	JC002YGFT	361	372	eight people	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	8 people died	measurement	size	count	none	starton	2014-xx-xx	endon	2014-xx-xx
JC002YFXO	RMJC002YFXO.000611	JC002YGFT	1378	1397	9537 confirmed cases	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	9,537 people infected during chikungunya outbreak	measurement	size	count	none	startunk	EMPTY_NA	endbefore	2014-09-19
JC002YFXO	RMJC002YFXO.001381	JC002YGFT	3233	3242	ten people	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	10 people dead of disease in Venezuela	measurement	size	count	none	starton	2014-09-xx	endon	2014-10-04
JC002YFXO	RMJC002YFXO.003406	JC002YGFT	5355	5370	don't trust them	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Government is not trustworthy	evaluate	sentiment	negative	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YC3Z	RMJC002YC3Z.000003	JC002YEMF	78	96	Президент Венесуэлы	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro is a president of Venezuela	organizationaffiliation	leadership	headofstate	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YC3Z	RMJC002YC3Z.000243	JC002YEMF	797	797	в	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Hospital is located in Maracay	physical	locatednear	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YC3Z	RMJC002YC3Z.000290	JC002YEMF	736	746	подозревает	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro blames right wing parties for introducing a virus in the hospital	responsibilityblame	assignblame	assignblame	none	startbefore	2014-09-21	endbefore	2014-09-21
JC002YC3Z	RMJC002YC3Z.000397	JC002YEMF	235	252	выразил подозрения	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro blames opposition for spread of the virus	responsibilityblame	assignblame	assignblame	none	starton	2014-09-21	endon	2014-09-21
JC002YC3Z	RMJC002YC3Z.000666	JC002YEMF	1370	1375	восемь	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	8 people died	measurement	size	count	none	startbefore	2014-09-21	endbefore	2014-09-21
JC002YC3Z	RMJC002YC3Z.000786	JC002YEMF	1034	1056	губернатор штата Арагуа	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Tareck El Aissami ia a Governor of Aragua state	organizationaffiliation	leadership	government	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YC48	RMJC002YC48.000097	JC002YEMH	68	76	более 200	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	More than 200 cases of chikungunya were registered	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YC48	RMJC002YC48.000191	JC002YEMH	361	361	в	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Most infected people live in Caracas	physical	resident	resident	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YC48	RMJC002YC48.000238	JC002YEMH	381	381	в	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Most infected people live in Miranda	physical	resident	resident	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YC48	RMJC002YC48.000285	JC002YEMH	381	381	в	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Most infected people live in Aragua	physical	resident	resident	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YC48	RMJC002YC48.000332	JC002YEMH	381	381	в	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Most infected people live in Vargas	physical	resident	resident	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YC48	RMJC002YC48.000379	JC002YEMH	310	318	проживает	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Most infected people live in the central part of the country	physical	resident	resident	none	startunk	EMPTY_NA	endunk	EMPTY_NA
