root_uid	relationmention_id	slot_type	argmention_id
IC001V8WF	RMIC001V8WF.000100	rel041arg02country	EMIC001V8WF.000121
IC001V8WF	RMIC001V8WF.000100	rel041arg01leader	EMIC001V8WF.000134
IC001V8WF	RMIC001V8WF.000374	rel041arg02country	EMIC001V8WF.000395
IC001V8WF	RMIC001V8WF.000374	rel041arg01leader	EMIC001V8WF.000408
IC001V8WF	RMIC001V8WF.000823	rel023arg01actororevent	VMIC001V8WF.001575
IC001V8WF	RMIC001V8WF.000823	rel023arg02sponsor	EMIC001V8WF.000878
IC001V8WF	RMIC001V8WF.000938	rel059arg01entityresponsible	EMIC001V8WF.000878
IC001V8WF	RMIC001V8WF.000938	rel059arg02event	VMIC001V8WF.001575
IC001V8WF	RMIC001V8WF.001053	rel059arg02event	VMIC001V8WF.001575
IC001V8WF	RMIC001V8WF.001053	rel059arg01entityresponsible	EMIC001V8WF.001087
IC001V8WF	RMIC001V8WF.001126	rel023arg01actororevent	VMIC001V8WF.001596
IC001V8WF	RMIC001V8WF.001126	rel023arg02sponsor	EMIC001V8WF.001181
IC001V8WF	RMIC001V8WF.001147	rel059arg02event	VMIC001V8WF.001596
IC001V8WF	RMIC001V8WF.001147	rel059arg01entityresponsible	EMIC001V8WF.001181
IC001V8WF	RMIC001V8WF.001659	rel030arg01measurement	EMIC001V8WF.002034
IC001V8WF	RMIC001V8WF.001659	rel030arg02entityorfiller	EMIC001V8WF.002047
IC001V8WF	RMIC001V8WF.001764	rel030arg02entityorfiller	EMIC001V8WF.002146
IC001V8WF	RMIC001V8WF.001764	rel030arg01measurement	EMIC001V8WF.002159
IC001V8WF	RMIC001V8WF.001911	rel030arg02entityorfiller	EMIC001V8WF.002323
IC001V8WF	RMIC001V8WF.001911	rel030arg01measurement	EMIC001V8WF.001945
IC001V8WF	RMIC001V8WF.002060	rel023arg02sponsor	EMIC001V8WF.002047
IC001V8WF	RMIC001V8WF.002060	rel023arg01actororevent	VMIC001V8WF.001722
IC001V8WF	RMIC001V8WF.002440	rel059arg02event	VMIC001V8WF.001398
IC001V8WF	RMIC001V8WF.002440	rel059arg01entityresponsible	EMIC001V8WF.002474
IC001V9U9	RMIC001V9U9.000285	rel030arg01measurement	EMIC001V9U9.000306
IC001V9U9	RMIC001V9U9.000285	rel030arg02entityorfiller	EMIC001V9U9.000037
IC001V9U9	RMIC001V9U9.000332	rel041arg02country	EMIC001V9U9.000353
IC001V9U9	RMIC001V9U9.000332	rel041arg01leader	EMIC001V9U9.000084
IC001V9U9	RMIC001V9U9.000854	rel030arg02entityorfiller	EMIC001V9U9.000426
IC001V9U9	RMIC001V9U9.000854	rel030arg01measurement	EMIC001V9U9.000888
IC001V9U9	RMIC001V9U9.000901	rel051arg02place	EMIC001V9U9.000922
IC001V9U9	RMIC001V9U9.000901	rel051arg01entityorfiller	EMIC001V9U9.000606
IC001V9U9	RMIC001V9U9.000948	rel030arg02entityorfiller	EMIC001V9U9.000969
IC001V9U9	RMIC001V9U9.000948	rel030arg01measurement	EMIC001V9U9.000982
IC001V9U9	RMIC001V9U9.000995	rel030arg02entityorfiller	EMIC001V9U9.000559
IC001V9U9	RMIC001V9U9.000995	rel030arg01measurement	EMIC001V9U9.001029
IC001V9U9	RMIC001V9U9.001042	rel030arg02entityorfiller	EMIC001V9U9.001063
IC001V9U9	RMIC001V9U9.001042	rel030arg01measurement	EMIC001V9U9.001076
IC001V9U9	RMIC001V9U9.001089	rel030arg02entityorfiller	EMIC001V9U9.001110
IC001V9U9	RMIC001V9U9.001089	rel030arg01measurement	EMIC001V9U9.001123
IC001V9U9	RMIC001V9U9.001136	rel030arg02entityorfiller	EMIC001V9U9.000653
IC001V9U9	RMIC001V9U9.001136	rel030arg01measurement	EMIC001V9U9.001170
IC001V9U9	RMIC001V9U9.001805	rel030arg02entityorfiller	EMIC001V9U9.001826
IC001V9U9	RMIC001V9U9.001805	rel030arg01measurement	EMIC001V9U9.001839
IC001V9U9	RMIC001V9U9.001852	rel051arg02place	EMIC001V9U9.001272
IC001V9U9	RMIC001V9U9.001852	rel051arg01entityorfiller	EMIC001V9U9.001353
IC001V9U9	RMIC001V9U9.001899	rel030arg02entityorfiller	EMIC001V9U9.001920
IC001V9U9	RMIC001V9U9.001899	rel030arg01measurement	EMIC001V9U9.001933
IC001V9U9	RMIC001V9U9.001946	rel051arg02place	EMIC001V9U9.000178
IC001V9U9	RMIC001V9U9.001946	rel051arg01entityorfiller	EMIC001V9U9.000165
IC001V9U9	RMIC001V9U9.001993	rel051arg02place	EMIC001V9U9.000191
IC001V9U9	RMIC001V9U9.001993	rel051arg01entityorfiller	EMIC001V9U9.000165
IC001V9U9	RMIC001V9U9.002040	rel051arg02place	EMIC001V9U9.000606
IC001V9U9	RMIC001V9U9.002040	rel051arg01entityorfiller	EMIC001V9U9.000593
IC001V9U9	RMIC001V9U9.002087	rel051arg02place	EMIC001V9U9.000700
IC001V9U9	RMIC001V9U9.002087	rel051arg01entityorfiller	EMIC001V9U9.000687
IC001V9U9	RMIC001V9U9.002134	rel051arg02place	EMIC001V9U9.000747
IC001V9U9	RMIC001V9U9.002134	rel051arg01entityorfiller	EMIC001V9U9.000734
IC001V9U9	RMIC001V9U9.002181	rel051arg02place	EMIC001V9U9.001319
IC001V9U9	RMIC001V9U9.002181	rel051arg01entityorfiller	EMIC001V9U9.001306
IC001V9U9	RMIC001V9U9.002228	rel051arg02place	EMIC001V9U9.001426
