root_uid	eventmention_id	slot_type	argmention_id	attribute
IC001V8WF	VMIC001V8WF.000147	evt059arg03place	EMIC001V8WF.000168	none
IC001V8WF	VMIC001V8WF.000147	evt059arg02instrument	EMIC001V8WF.000181	none
IC001V8WF	VMIC001V8WF.000194	evt095arg02victim	EMIC001V8WF.000254	none
IC001V8WF	VMIC001V8WF.000194	evt095arg04place	EMIC001V8WF.000168	none
IC001V8WF	VMIC001V8WF.000194	evt095arg03instrument	EMIC001V8WF.000181	none
IC001V8WF	VMIC001V8WF.000280	evt046arg01communicator	EMIC001V8WF.000301	none
IC001V8WF	VMIC001V8WF.000280	evt046arg03place	EMIC001V8WF.000168	none
IC001V8WF	VMIC001V8WF.000327	evt090arg02victim	EMIC001V8WF.000510	none
IC001V8WF	VMIC001V8WF.000442	evt046arg01communicator	EMIC001V8WF.000523	none
IC001V8WF	VMIC001V8WF.000442	evt046arg02recipient	EMIC001V8WF.000536	none
IC001V8WF	VMIC001V8WF.000562	evt095arg02victim	EMIC001V8WF.000523	none
IC001V8WF	VMIC001V8WF.000562	evt095arg03instrument	EMIC001V8WF.003053	none
IC001V8WF	VMIC001V8WF.000609	evt059arg02instrument	EMIC001V8WF.003053	none
IC001V8WF	VMIC001V8WF.000630	evt101arg03vehicle	EMIC001V8WF.000181	none
IC001V8WF	VMIC001V8WF.000630	evt101arg05destination	EMIC001V8WF.000168	none
IC001V8WF	VMIC001V8WF.000630	evt101arg02artifact	EMIC001V8WF.003066	none
IC001V8WF	VMIC001V8WF.000651	evt101arg02artifact	EMIC001V8WF.003079	none
IC001V8WF	VMIC001V8WF.000651	evt101arg03vehicle	EMIC001V8WF.003053	none
IC001V8WF	VMIC001V8WF.000776	evt046arg01communicator	EMIC001V8WF.000797	none
IC001V8WF	VMIC001V8WF.001032	evt084arg02defendant	EMIC001V8WF.001100	none
IC001V8WF	VMIC001V8WF.001032	evt084arg03crime	VMIC001V8WF.001575	none
IC001V8WF	VMIC001V8WF.001220	evt079arg01jailer	EMIC001V8WF.001275	none
IC001V8WF	VMIC001V8WF.001220	evt079arg03crime	VMIC001V8WF.001596	none
IC001V8WF	VMIC001V8WF.001220	evt079arg02detainee	EMIC001V8WF.001301	none
