kb_id	mention_id	root_uid
NILE20001	EMIC001V8WF.002284	IC001V8WF
NILE20002	EMIC001V8WF.000121	IC001V8WF
NILE20003	EMIC001V8WF.000168	IC001V8WF
NILE20002	EMIC001V8WF.000395	IC001V8WF
NILE20002	EMIC001V8WF.002542	IC001V8WF
NILE20004	EMIC001V8WF.002555	IC001V8WF
NILE20004	EMIC001V8WF.002568	IC001V8WF
NILE20002	EMIC001V8WF.002581	IC001V8WF
NILE20002	EMIC001V8WF.002594	IC001V8WF
NILE20002	EMIC001V8WF.002628	IC001V8WF
NILE20005	EMIC001V8WF.000134	IC001V8WF
NILE20005	EMIC001V8WF.000254	IC001V8WF
NILE20005	EMIC001V8WF.000301	IC001V8WF
NILE20005	EMIC001V8WF.000408	IC001V8WF
NILE20005	EMIC001V8WF.000510	IC001V8WF
NILE20005	EMIC001V8WF.000523	IC001V8WF
NILE20006	EMIC001V8WF.000536	IC001V8WF
NILE20005	EMIC001V8WF.000797	IC001V8WF
NILE20007	EMIC001V8WF.000878	IC001V8WF
NILE20007	EMIC001V8WF.001087	IC001V8WF
NILE20007	EMIC001V8WF.001100	IC001V8WF
NILE20008	EMIC001V8WF.001181	IC001V8WF
NILE20009	EMIC001V8WF.001275	IC001V8WF
NILE20008	EMIC001V8WF.001301	IC001V8WF
NILE20010	EMIC001V8WF.002021	IC001V8WF
NILE20011	EMIC001V8WF.002047	IC001V8WF
NILE20012	EMIC001V8WF.002323	IC001V8WF
NILE20005	EMIC001V8WF.002336	IC001V8WF
NILE20013	EMIC001V8WF.002474	IC001V8WF
NILE20005	EMIC001V8WF.002641	IC001V8WF
NILE20005	EMIC001V8WF.002654	IC001V8WF
NILE20005	EMIC001V8WF.002667	IC001V8WF
NILE20005	EMIC001V8WF.002680	IC001V8WF
NILE20005	EMIC001V8WF.002693	IC001V8WF
NILE20005	EMIC001V8WF.002706	IC001V8WF
NILE20005	EMIC001V8WF.002719	IC001V8WF
NILE20007	EMIC001V8WF.002753	IC001V8WF
NILE20007	EMIC001V8WF.002766	IC001V8WF
NILE20007	EMIC001V8WF.002779	IC001V8WF
NILE20008	EMIC001V8WF.002792	IC001V8WF
NILE20010	EMIC001V8WF.002826	IC001V8WF
NILE20010	EMIC001V8WF.002839	IC001V8WF
NILE20014	EMIC001V8WF.002873	IC001V8WF
NILE20015	EMIC001V8WF.002886	IC001V8WF
NILE20015	EMIC001V8WF.002899	IC001V8WF
NILE20015	EMIC001V8WF.002912	IC001V8WF
NILE20016	EMIC001V8WF.001945	IC001V8WF
NILE20017	EMIC001V8WF.002034	IC001V8WF
NILE20018	EMIC001V8WF.002159	IC001V8WF
NILE20019	EMIC001V8WF.002993	IC001V8WF
NILE20018	EMIC001V8WF.003006	IC001V8WF
NILE20020	EMIC001V8WF.000181	IC001V8WF
NILE20020	EMIC001V8WF.002146	IC001V8WF
NILE20021	EMIC001V8WF.002271	IC001V8WF
NILE20022	EMIC001V8WF.002297	IC001V8WF
NILE20020	EMIC001V8WF.002375	IC001V8WF
NILE20020	EMIC001V8WF.002427	IC001V8WF
NILE20020	EMIC001V8WF.002959	IC001V8WF
NILE20020	EMIC001V8WF.003053	IC001V8WF
NILE20023	EMIC001V8WF.002946	IC001V8WF
NILE20023	EMIC001V8WF.003066	IC001V8WF
NILE20023	EMIC001V8WF.003079	IC001V8WF
NILE20080	EMIC001V9U9.004316	IC001V9U9
NILE20081	EMIC001V9U9.000413	IC001V9U9
NILE20082	EMIC001V9U9.004329	IC001V9U9
NILE20130	EMIC001V9U9.001306	IC001V9U9
NILE20131	EMIC001V9U9.001353	IC001V9U9
NILE20130	EMIC001V9U9.001400	IC001V9U9
NILE20132	EMIC001V9U9.004428	IC001V9U9
NILE20073	EMIC001V9U9.001272	IC001V9U9
NILE20071	EMIC001V9U9.001507	IC001V9U9
NILE20071	EMIC001V9U9.001319	IC001V9U9
NILE20069	EMIC001V9U9.002951	IC001V9U9
NILE20069	EMIC001V9U9.002925	IC001V9U9
NILE20083	EMIC001V9U9.004058	IC001V9U9
NILE20133	EMIC001V9U9.002356	IC001V9U9
NILE20133	EMIC001V9U9.000165	IC001V9U9
NILE20084	EMIC001V9U9.000640	IC001V9U9
NILE20085	EMIC001V9U9.000024	IC001V9U9
NILE20067	EMIC001V9U9.000191	IC001V9U9
NILE20067	EMIC001V9U9.002382	IC001V9U9
NILE20086	EMIC001V9U9.003355	IC001V9U9
NILE20087	EMIC001V9U9.000486	IC001V9U9
NILE20076	EMIC001V9U9.003058	IC001V9U9
NILE20076	EMIC001V9U9.002703	IC001V9U9
NILE20088	EMIC001V9U9.003993	IC001V9U9
NILE20071	EMIC001V9U9.000606	IC001V9U9
NILE20089	EMIC001V9U9.003727	IC001V9U9
NILE20089	EMIC001V9U9.002763	IC001V9U9
NILE20090	EMIC001V9U9.002442	IC001V9U9
NILE20090	EMIC001V9U9.002523	IC001V9U9
